Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) ,Encoded_Category,Bevg_Prep,cafe_numic
80,1.5,0.2,0.0,0,40,14,0,13,3.0,0.04,0.0,0.1,0.06,8,7,35
120,0.1,0.1,0.0,5,65,23,0,23,5.0,0.1,0.0,0.2,0.0,8,9,35
140,3,1.5,0.1,15,75,23,0,23,5.0,0.08,0.0,0.15,0.0,8,0,35
130,2.5,0.3,0.0,0,60,21,1,19,4.0,0.06,0.0,0.2,0.08,8,7,35
150,0.2,0.1,0.0,5,85,31,0,31,7.0,0.15,0.0,0.25,0.0,8,3,35
190,4,2.0,0.1,15,95,31,0,30,7.0,0.1,0.0,0.25,0.0,8,0,35
170,3.5,0.4,0.0,0,80,27,1,25,6.0,0.08,0.0,0.25,0.1,8,7,35
190,0.2,0.1,0.0,5,110,39,0,39,9.0,0.15,0.0,0.3,0.0,8,11,35
230,5,2.5,0.2,20,125,38,0,38,9.0,0.15,0.0,0.3,0.0,8,0,35
210,4,0.5,0.0,0,100,34,1,32,7.0,0.1,0.0,0.3,0.15,8,7,35
80,0.1,0.1,0.0,0,45,16,0,16,4.0,0.06,0.0,0.1,0.0,8,5,0
90,2,1.0,0.1,10,50,15,0,15,3.0,0.06,0.0,0.1,0.0,8,0,0
80,1.5,0.2,0.0,0,40,14,0,13,3.0,0.04,0.0,0.1,0.06,8,7,0
120,0.1,0.1,0.0,5,65,23,0,23,5.0,0.1,0.0,0.2,0.0,8,9,0
140,3,1.5,0.1,15,75,23,0,23,5.0,0.08,0.0,0.15,0.0,8,0,0
130,2.5,0.3,0.0,0,60,21,1,19,4.0,0.06,0.0,0.2,0.08,8,7,0
150,0.2,0.1,0.0,5,85,31,0,31,7.0,0.15,0.0,0.25,0.0,8,3,0
190,4,2.0,0.1,15,95,31,0,30,7.0,0.1,0.0,0.25,0.0,8,0,0
170,3.5,0.4,0.0,0,80,27,1,25,6.0,0.08,0.0,0.25,0.1,8,7,0
190,0.2,0.1,0.0,5,110,39,0,39,9.0,0.15,0.0,0.3,0.0,8,11,0
230,5,2.5,0.2,20,125,38,0,38,9.0,0.15,0.0,0.3,0.0,8,0,0
210,4,0.5,0.0,0,100,34,1,32,7.0,0.1,0.0,0.3,0.15,8,7,0
60,0,0.0,0.0,0,4,15,0,15,0.2,0.0,0.0,0.0,0.0,5,8,5
90,0.1,0.0,0.0,0,5,21,0,21,0.3,0.0,0.0,0.0,0.0,5,2,12
130,0.1,0.0,0.0,0,5,31,0,31,0.4,0.0,0.0,0.0,0.0,5,10,18
80,0.1,0.0,0.0,0,25,18,0,18,2.0,0.02,0.0,0.06,0.0,5,9,32
80,1,0.1,0.0,0,20,17,0,17,2.0,0.02,0.0,0.06,0.0,5,7,32
110,0.1,0.0,0.0,0,30,24,0,24,2.0,0.04,0.0,0.08,0.02,5,3,32
120,1.5,0.5,0.0,5,35,24,0,24,2.0,0.04,0.0,0.08,0.0,5,0,6
110,1,0.1,0.0,0,30,23,0,22,2.0,0.02,0.0,0.08,0.0,5,7,6
160,0.1,0.1,0.0,0,50,36,0,36,4.0,0.06,0.0,0.1,0.04,5,11,6
180,2,1.0,0.1,10,55,36,0,36,4.0,0.06,0.0,0.1,0.0,5,0,13
170,1.5,0.2,0.0,0,45,34,0,33,3.0,0.04,0.0,0.1,0.0,5,7,13
60,0,0.0,0.0,0,0,15,0,15,0.0,0.0,0.0,0.0,0.06,5,8,13
80,0,0.0,0.0,0,0,21,0,21,0.0,0.0,0.0,0.0,0.0,5,2,34
120,0,0.0,0.0,0,0,31,0,31,0.0,0.0,0.0,0.0,0.0,5,10,34
100,0,0.0,0.0,0,0,25,0,24,0.1,0.0,0.1,0.0,0.0,5,8,34
130,0,0.0,0.0,0,0,33,0,33,0.1,0.0,0.15,0.0,0.0,5,2,34
190,0,0.0,0.0,0,0,49,0,49,0.1,0.0,0.2,0.0,0.0,5,10,34
280,2.5,1.5,0.0,5,150,53,7,34,20.0,0.1,0.15,0.2,0.0,7,3,34
300,5,2.5,0.1,15,160,53,7,34,20.0,0.08,0.15,0.2,0.2,7,0,10
290,4.5,1.5,0.0,5,150,51,7,31,19.0,0.06,0.15,0.2,0.2,7,7,10
